Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
HochbergEtAlNature2012,,http://dx.doi.org/10.1038/nature11076,True,HochbergEtAlNature2012.pdf,2012,,Nature,True,SciHub,"Hochberg, Leigh R. and Bacher, Daniel and Jarosiewicz, Beata and Masse, Nicolas Y. and Simeral, John D. and Vogel, Joern and Haddadin, Sami and Liu, Jie and Cash, Sydney S. and van der Smagt, Patrick and Donoghue, John P."
GangulyEtAlNatureNeuro2011,,http://dx.doi.org/10.1038/nn.2797,True,GangulyEtAlNatureNeuro2011.pdf,2011,,Nature Neuroscience,True,SciHub,"Ganguly, Karunesh and Dimitrov, Dragan F and Wallis, Jonathan D and Carmena, Jose M"
EthierEtAlNature2012,,http://dx.doi.org/10.1038/nature10987,True,EthierEtAlNature2012.pdf,2012,,Nature,True,SciHub,"Ethier, C. and Oby, E. R. and Bauman, M. J. and Miller, L. E."
CunninghamEtAlJNeurophys2011,,http://dx.doi.org/10.1152/jn.00503.2010,True,CunninghamEtAlJNeurophys2011.pdf,2011,,Journal of Neurophysiology,True,SciHub,"Cunningham, John P. and Nuyujukian, Paul and Gilja, Vikash and Chestek, Cindy A. and Ryu, Stephen I. and Shenoy, Krishna V."
ChestekEtAlJNE2011,,http://dx.doi.org/10.1088/1741-2560/8/4/045005,True,ChestekEtAlJNE2011.pdf,2011,,Journal of Neural Engineering,True,SciHub,"Chestek, Cynthia A and Gilja, Vikash and Nuyujukian, Paul and Foster, Justin D and Fan, Joline M and Kaufman, Matthew T and Churchland, Mark M and Rivera-Alvidrez, Zuley and Cunningham, John P and Ryu, Stephen I and Shenoy, Krishna V"
BlankertzEtAlIEEETNSRE2003,,http://dx.doi.org/10.1109/TNSRE.2003.814456,True,BlankertzEtAlIEEETNSRE2003.pdf,2003,,IEEE Transactions on Neural Systems and Rehabilitation Engineering,True,SciHub,"Blankertz, B. and Dornhege, G. and Schafer, C. and Krepki, R. and Kohlmorgen, J. and Muller, K.-R. and Kunzmann, V. and Losch, F. and Curio, G."
HochbergNEJM2008,,http://dx.doi.org/10.1056/NEJMcibr0805122,True,HochbergNEJM2008.pdf,2008,,New England Journal of Medicine,True,SciHub,"Hochberg, Leigh R."
HanEtAlNeuron2009,,http://dx.doi.org/10.1016/j.neuron.2009.03.011,True,HanEtAlNeuron2009.pdf,2009,,Neuron,True,SciHub,"Han, Xue and Qian, Xiaofeng and Bernstein, Jacob G. and Zhou, Hui-hui and Franzesi, Giovanni Talei and Stern, Patrick and Bronson, Roderick T. and Graybiel, Ann M. and Desimone, Robert and Boyden, Edward S."
BuchenNat2010,,http://dx.doi.org/10.1038/465026a,True,BuchenNat2010.pdf,2010,,Nature,True,SciHub,"Buchen, Lizzie"
PohlmeyerEtAlPLoSOne2009,,http://dx.doi.org/10.1371/journal.pone.0005924,True,PohlmeyerEtAlPLoSOne2009.pdf,2009,,PLoS ONE,True,SciHub,"Pohlmeyer, Eric A. and Oby, Emily R. and Perreault, Eric J. and Solla, Sara A. and Kilgore, Kevin L. and Kirsch, Robert F. and Miller, Lee E."
Vargas-IrwinEtAlJNeurosci2010,,http://dx.doi.org/10.1523/JNEUROSCI.5443-09.2010,True,Vargas-IrwinEtAlJNeurosci2010.pdf,2010,,Journal of Neuroscience,True,SciHub,"Vargas-Irwin, C. E. and Shakhnarovich, G. and Yadollahpour, P. and Mislow, J. M. K. and Black, M. J. and Donoghue, J. P."
GangulyEtAlJNeurosci2009,,http://dx.doi.org/10.1523/JNEUROSCI.2471-09.2009,True,GangulyEtAlJNeurosci2009.pdf,2009,,The Journal of Neuroscience,True,SciHub,"Ganguly, Karunesh and Secundo, Lavi and Ranade, Gireeja and Orsborn, Amy and Chang, Edward F. and Dimitrov, Dragan F. and Wallis, Jonathan D. and Barbaro, Nicholas M. and Knight, Robert T. and Carmena, Jose M."
GiljaEtAlTBME2011,,http://dx.doi.org/10.1109/TBME.2011.2107553,True,GiljaEtAlTBME2011.pdf,2011,,IEEE Transactions on Biomedical Engineering,True,SciHub,"Gilja, V and Chestek, C A and Diester, I and Henderson, J M and Deisseroth, K and Shenoy, K V"
KimEtAlTNSRE2011,,http://dx.doi.org/10.1109/TNSRE.2011.2107750,True,KimEtAlTNSRE2011.pdf,2011,,IEEE Transactions on Neural Systems and Rehabilitation Engineering,True,SciHub,"Kim, Sung-Phil and Simeral, John D. and Hochberg, Leigh R. and Donoghue, John P. and Friehs, Gerhard M. and Black, Michael J."
GreenKalaskaTrendsNeurosci2011,,http://dx.doi.org/10.1016/j.tins.2010.11.003,True,GreenKalaskaTrendsNeurosci2011.pdf,2011,,Trends in Neurosciences,True,SciHub,"Green, Andrea M. and Kalaska, John F."
