BlackrockNeurotech2021,Blackrock Neurotech
NuyujukianMindPong2021,Neuralink Monkey MindPong Deconstructed
NeuralinkPager2021,Monkey MindPong
Craver2009,Explaining the Brain: Mechanisms and the Mosaic Unity of Neuroscience
DweckMindset2008,Mindset: the new psychology of success
NAEDiversity2002,The Importance of Diversity in Engineering
NRCSciEdStand1996,National Science Education Standards
LewickiNetwork1998,A review of methods for spike sorting: the detection and classification of neural action potentials.
KoroshetzBTGSRRR2018,Bridging the Translational Gap in Stroke Recovery \& Rehabilitation Research
MountcastleEtAlAmerJPhys1955,Topographic organization and modality representation in first somatic area of cat's cerebral cortex by method of single unit analysis
GleesColeJNeurophys1950,Recovery of skilled motor functions after small repeated lesions of motor cortex in macaque
MountcastleEtAlJNeurophys1975,Posterior parietal association cortex of the monkey: command functions for operations within extrapersonal space.
GrottaStroke2016,Stroke--pathophysiology, diagnosis, and management
ColomboEtAlBrainRes1974,Local changes in multiple unit activity induced by electrochemical means in preoptic and hypothalamic areas in the female rat.
ChibaWadaNeuroLett1997,The effect of electrolytic lesioning of the midbrain prior to amygdala kindling in rats.
SherringtonProcRoySoc1893,Further experimental note on the correlation of action of antagonistic muscles
HorsleySchaferPhilosTrans1888,A record of experiments upon the functions of the cerebral cortex
FerrierYeoPhilosTrans1884,A record of experiments on the effects of lesions of different regions of the cerebral hemisphere
FerrierFunctionsBrain1876,The Functions of the Brain
AnticEtAlMICCAI2015,Spatiotemporal Parsing of Motor Kinematics for Assessing Stroke Recovery
TothGardinerContempTopLabAnimAci2000,Food and water restriction protocols: physiological and behavioral considerations.
SacedaSchmidtSacuedaLabAnimal2000,Refining macaque handling and restraint techniques
SchieberPoliakovJNeurosci1998,Partial inactivation of the primary motor cortex hand area: effects on individuated finger movements.
KubotaNeuroreport1996,Motor cortical muscimol injection disrupts forelimb movement in freely moving monkeys.
PostStrokeRehabNINDS2014,Post-Stroke Rehabilitation
OrganizationDeathFactSheet2012017,The top 10 causes of death in 2015
EvartsJNeurophys1968,Relation of pyramidal tract activity to force exerted during voluntary movement.
NudoMillikenJNeurophys1996,Reorganization of movement representations in primary motor cortex following focal ischemic infarcts in adult squirrel monkeys.
STAIRStroke1999,Recommendations for standards regarding preclinical neuroprotective and restorative drug development.
GuilloryNormannJNeurosciMethods1999,A 100-channel system for real time detection and storage of extracellular spike waveforms.
YamadaJInfProc1980,A Historical Study of Typewriters and Typing Methods: from the Position of Planning Japanese Parallels
FetzBakerJNeurophys1973,Operantly conditioned patterns on precentral unit activity and correlated responses in adjacent cells and contralateral muscles.
FetzScience1969,Operant conditioning of cortical unit activity.
FetzBehavioralBrainSciences1992,Are movement parameters recognizably coded in the activity of single neurons
HumphreyEtAlScience1970,Predicting measures of motor performance from multiple cortical spike trains.
BodineAssistiveTechnologyPhysicalMedicine2010,Assistive Technology
ReeveFoundation2009,One Degree of Separation: Paralysis and Spinal Cord Injury in the United States
KhatibCNRSMTMCR1986,Robot Manipulator Control in Operational Space
KhatibCMR1993,A Task-Level Framework for Robotics Manipulation
KhatibEtAlERS2008,A Unified Framework for Whole-body Humanoid Robot Control with Multiple Constraints and Contacts
KhatibIEEEISIE2009,Human-Friendly Robotics
ShinEtAlIJRR2010,Design and control of a bio-inspired human-friendly robot
JarosiewiczEtAlSFN2014,Progress toward a self-calibrating, practical intracortical BCI for people with tetraplegia
PandarinathNuyujukianEtAlSFN2014,Application of a high performance intracortical brain computer interface for communication in a person with amyotrophic lateral sclerosis
NuyujukianPandarinathEtAlSFN2014,Design of a high performance intracortical brain computer interface for a person with amyotrophic lateral sclerosis
NuyujukianEtAlSFN2012,State decoding using hidden Markov models for continuous brain-machine interfaces
FanEtAlJNE2014,Intention estimation in brain-machine interfaces.
NuyujukianEtAlASSFN2014,The development of high-performance communication neural prostheses
GiljaEtAlSFN2013,Design and application of a high performance intracortical brain computer interface for a person with amyotrophic lateral sclerosis
PandarinathEtAlASSFN2014,High-performance communication using neuronal ensemble recordings from the motor cortex of a person with ALS
NewmanSproullPICG1979Ra1979,Principles of Interactive Computer Graphics
WolpawEtAlTRE1998,EEG-Based communication: improved accuracy by response verification
WolfCh3IndwellingNeuralImplants2008,Thermal Considerations for the Design of an Implanted Cortical Brain-Machine Interface (BMI)
EliasmithAnderson2003,Neural Engineering: Computation, Representation, and Dynamics in Neurobiological Systems
DethierEtAlNIPS2011,A Brain-Machine Interface Operating with a Real-Time Spiking Neural Network Control Algorithm
SilverEtAlJNeurosci2007,Neurotech for neuroscience: unifying concepts, organizing principles, and emerging tools.
BoahenSciAm2005,Neuromorphic microchips
LaubachEtAlNature2000,Cortical ensemble activity increasingly predicts behaviour outcomes during learning of a motor task
HarrisonIEEE2008,The design of integrated circuits to observe brain activity
HarrisonEtAlJSSC2007,Low-power integrated circuit for a wireless 100-electrode neural recording system.
BortonEtAlJNE2013,An implantable wireless neural interface for recording cortical circuit dynamics in moving primates
ChaseEtAlJNeurophys2012,Behavioral and neural correlates of visuomotor adaptation observed through a brain-computer interface in primary motor cortex
GiljaEtAlNatureNeuro2012,A high-performance neural prosthesis enabled by control algorithm design
HopkinsDrDobbs1991,The design and implementation of pie menus
NewmanSproullPrinciplesInteractiveComputerGraphics1979,Principles of Interactive Computer Graphics
KaufmanEtAlJNeurophys2010,Roles of monkey premotor neuron classes in movement preparation and execution
KalaskaAdvExpMedBio2009,From intention to action: motor cortex and the control of reaching movements
GolubEtAlEMBC2012,{Internal Models Engaged by Brain-computer Interface Control}
McFarlandEtAlJNE2010,Electroencephalographic (EEG) control of three-dimensional movement
SchalkEtAlJNE2008,Two-dimensional movement control using electrocorticographic signals in humans
LiEtAlNeuralComp2011,Adaptive Decoding for Brain-Machine Interfaces Through Bayesian Parameter Updates
